,seed,model_name,accuracy,f1_score,n_clusters,domain,n_test_samples
59,100,lr,0.8045,0.7977237454733574,5,Global,2000
60,100,rf,0.8636363636363636,0.16666666666666666,6,Domain1,220
61,100,rf,0.717391304347826,0.7743055555555556,6,Domain2,460
62,100,rf,0.7620253164556962,0.8178294573643411,6,Domain3,395
63,100,rf,0.9842105263157894,0.0,6,Domain4,380
64,100,rf,0.7467532467532467,0.8186046511627908,6,Domain5,154
65,100,rf,0.8286445012787724,0.8814159292035397,6,Domain6,391
66,100,rf,0.817,0.8087774294670846,6,Global,2000
67,100,lgbm,0.8727272727272727,0.4615384615384615,6,Domain1,220
68,100,lgbm,0.7130434782608696,0.7692307692307692,6,Domain2,460
69,100,lgbm,0.7037974683544304,0.7745664739884391,6,Domain3,395
70,100,lgbm,0.9842105263157894,0.0,6,Domain4,380
71,100,lgbm,0.6688311688311688,0.753623188405797,6,Domain5,154
72,100,lgbm,0.7877237851662404,0.8566493955094991,6,Domain6,391
73,100,lgbm,0.7915,0.7844961240310077,6,Global,2000
74,100,lr,0.8590909090909091,0.39215686274509803,6,Domain1,220
75,100,lr,0.6891304347826087,0.7356746765249538,6,Domain2,460
76,100,lr,0.759493670886076,0.8183556405353728,6,Domain3,395
77,100,lr,0.9868421052631579,0.2857142857142857,6,Domain4,380
78,100,lr,0.7077922077922078,0.7926267281105991,6,Domain5,154
79,100,lr,0.8184143222506394,0.8765217391304347,6,Domain6,391
80,100,lr,0.805,0.7962382445141066,6,Global,2000
81,100,rf,0.8617511520737328,0.16666666666666666,7,Domain1,217
82,100,rf,0.7227272727272728,0.7903780068728522,7,Domain2,220
83,100,rf,0.75,0.8086785009861933,7,Domain3,388
84,100,rf,0.9841688654353562,0.0,7,Domain4,379
85,100,rf,0.7467532467532467,0.8186046511627908,7,Domain5,154
86,100,rf,0.8341836734693877,0.8849557522123894,7,Domain6,392
87,100,rf,0.696,0.7432432432432431,7,Domain7,250
88,100,rf,0.813,0.8048016701461378,7,Global,2000
89,100,lgbm,0.880184331797235,0.5,7,Domain1,217
90,100,lgbm,0.7181818181818181,0.7847222222222222,7,Domain2,220
91,100,lgbm,0.7036082474226805,0.7704590818363273,7,Domain3,388
92,100,lgbm,0.9868073878627969,0.0,7,Domain4,379
93,100,lgbm,0.6688311688311688,0.753623188405797,7,Domain5,154
94,100,lgbm,0.7882653061224489,0.8571428571428571,7,Domain6,392
95,100,lgbm,0.704,0.7465753424657534,7,Domain7,250
96,100,lgbm,0.792,0.7840083073727934,7,Global,2000
97,100,lr,0.8663594470046083,0.40816326530612246,7,Domain1,217
98,100,lr,0.7136363636363636,0.7773851590106007,7,Domain2,220
99,100,lr,0.7577319587628866,0.8164062499999999,7,Domain3,388
100,100,lr,0.9868073878627969,0.0,7,Domain4,379
101,100,lr,0.7077922077922078,0.7926267281105991,7,Domain5,154
102,100,lr,0.8188775510204082,0.876949740034662,7,Domain6,392
103,100,lr,0.668,0.710801393728223,7,Domain7,250
104,100,lr,0.805,0.7979274611398963,7,Global,2000
105,100,rf,0.9867021276595744,0.0,8,Domain1,376
106,100,rf,0.7364864864864865,0.8049999999999999,8,Domain2,296
107,100,rf,0.7711442786069652,0.8099173553719008,8,Domain3,201
108,100,rf,0.8102766798418972,0.8636363636363636,8,Domain4,253
109,100,rf,0.7467532467532467,0.8151658767772513,8,Domain5,154
110,100,rf,0.7339055793991416,0.80625,8,Domain6,233
111,100,rf,0.7391304347826086,0.788235294117647,8,Domain7,276
112,100,rf,0.8815165876777251,0.358974358974359,8,Domain8,211
113,100,rf,0.8125,0.8035620743844946,8,Global,2000
114,100,lgbm,0.9867021276595744,0.0,8,Domain1,376
115,100,lgbm,0.7195945945945946,0.7950617283950617,8,Domain2,296
116,100,lgbm,0.7064676616915423,0.7572016460905351,8,Domain3,201
117,100,lgbm,0.782608695652174,0.8450704225352113,8,Domain4,253
118,100,lgbm,0.6753246753246753,0.7596153846153847,8,Domain5,154
119,100,lgbm,0.630901287553648,0.7261146496815285,8,Domain6,233
120,100,lgbm,0.7572463768115942,0.8035190615835778,8,Domain7,276
121,100,lgbm,0.8909952606635071,0.5106382978723404,8,Domain8,211
122,100,lgbm,0.786,0.7768508863399376,8,Global,2000
123,100,lr,0.9867021276595744,0.0,8,Domain1,376
124,100,lr,0.7195945945945946,0.7930174563591023,8,Domain2,296
125,100,lr,0.7611940298507462,0.8000000000000002,8,Domain3,201
126,100,lr,0.7905138339920948,0.8472622478386166,8,Domain4,253
127,100,lr,0.7142857142857143,0.7962962962962963,8,Domain5,154
128,100,lr,0.7510729613733905,0.8198757763975155,8,Domain6,233
129,100,lr,0.6847826086956522,0.7387387387387387,8,Domain7,276
130,100,lr,0.8578199052132701,0.21052631578947367,8,Domain8,211
131,100,lr,0.796,0.7854889589905362,8,Global,2000
132,200,rf,0.823,0.8140756302521008,1,Domain1,2000
133,200,rf,0.823,0.8140756302521008,1,Global,2000
134,200,lgbm,0.8255,0.8185127405096204,1,Domain1,2000
135,200,lgbm,0.8255,0.8185127405096204,1,Global,2000
136,200,lr,0.801,0.790084388185654,1,Domain1,2000
137,200,lr,0.801,0.790084388185654,1,Global,2000
138,200,rf,0.8728813559322034,0.7804878048780488,2,Domain1,708
139,200,rf,0.7987616099071208,0.8250336473755048,2,Domain2,1292
140,200,rf,0.825,0.8154008438818565,2,Global,2000
141,200,lgbm,0.8516949152542372,0.742014742014742,2,Domain1,708
142,200,lgbm,0.794891640866873,0.8222669349429913,2,Domain2,1292
143,200,lgbm,0.815,0.8050579557428872,2,Global,2000
144,200,lr,0.8686440677966102,0.7726161369193154,2,Domain1,708
145,200,lr,0.7863777089783281,0.8122448979591838,2,Domain2,1292
146,200,lr,0.8155,0.8036189462480041,2,Global,2000
147,200,rf,0.7941696113074205,0.8189588189588188,3,Domain1,1132
148,200,rf,0.7697095435684648,0.82574568288854,3,Domain2,482
149,200,rf,0.9766839378238342,0.0,3,Domain3,386
150,200,rf,0.8235,0.8173823072943611,3,Global,2000
151,200,lgbm,0.7924028268551236,0.8109412711182623,3,Domain1,1132
152,200,lgbm,0.7531120331950207,0.8131868131868132,3,Domain2,482
153,200,lgbm,0.9766839378238342,0.0,3,Domain3,386
154,200,lgbm,0.8185,0.8078348332451033,3,Global,2000
155,200,lr,0.773851590106007,0.7990580847723705,3,Domain1,1132
156,200,lr,0.7634854771784232,0.820754716981132,3,Domain2,482
157,200,lr,0.9766839378238342,0.1818181818181818,3,Domain3,386
158,200,lr,0.8105,0.8027069234773556,3,Global,2000
159,200,rf,0.7560240963855421,0.7631578947368421,4,Domain1,664
160,200,rf,0.8458715596330275,0.8753709198813057,4,Domain2,545
161,200,rf,0.7579462102689487,0.8092485549132947,4,Domain3,409
162,200,rf,0.9764397905759162,0.18181818181818182,4,Domain4,382
163,200,rf,0.823,0.8125,4,Global,2000
164,200,lgbm,0.7439759036144579,0.7564469914040115,4,Domain1,664
165,200,lgbm,0.8348623853211009,0.8691860465116279,4,Domain2,545
166,200,lgbm,0.7457212713936431,0.7952755905511812,4,Domain3,409
167,200,lgbm,0.9790575916230366,0.0,4,Domain4,382
168,200,lgbm,0.814,0.804416403785489,4,Global,2000
169,200,lr,0.713855421686747,0.7085889570552146,4,Domain1,664
170,200,lr,0.8605504587155963,0.8898550724637682,4,Domain2,545
171,200,lr,0.7579462102689487,0.8092485549132947,4,Domain3,409
172,200,lr,0.9790575916230366,0.0,4,Domain4,382
173,200,lr,0.8135,0.8004280363830926,4,Global,2000
174,200,rf,0.8438914027149321,0.8968609865470851,5,Domain1,442
175,200,rf,0.8484848484848485,0.33962264150943394,5,Domain2,231
176,200,rf,0.7551020408163265,0.8087649402390439,5,Domain3,392
177,200,rf,0.9764397905759162,0.18181818181818182,5,Domain4,382
178,200,rf,0.7215189873417721,0.7806267806267806,5,Domain5,553
179,200,rf,0.8185,0.8125967991739803,5,Global,2000
180,200,lgbm,0.8257918552036199,0.88659793814433,5,Domain1,442
181,200,lgbm,0.8354978354978355,0.3666666666666667,5,Domain2,231
182,200,lgbm,0.7525510204081632,0.804040404040404,5,Domain3,392
183,200,lgbm,0.9790575916230366,0.0,5,Domain4,382
184,200,lgbm,0.7197106690777577,0.7769784172661871,5,Domain5,553
185,200,lgbm,0.8125,0.806401652039236,5,Global,2000
186,200,lr,0.8416289592760181,0.8955223880597014,5,Domain1,442
187,200,lr,0.8658008658008658,0.43636363636363634,5,Domain2,231
188,200,lr,0.7525510204081632,0.8063872255489023,5,Domain3,392
189,200,lr,0.9790575916230366,0.0,5,Domain4,382
190,200,lr,0.6943942133815552,0.7435508345978755,5,Domain5,553
191,200,lr,0.8125,0.8019017432646591,5,Global,2000
192,200,rf,0.8385650224215246,0.27999999999999997,6,Domain1,223
193,200,rf,0.7862595419847328,0.839080459770115,6,Domain2,524
194,200,rf,0.9739583333333334,0.2857142857142857,6,Domain3,384
195,200,rf,0.7461139896373057,0.8039999999999999,6,Domain4,386
196,200,rf,0.7325581395348837,0.8083333333333332,6,Domain5,172
197,200,rf,0.77491961414791,0.8341232227488152,6,Domain6,311
198,200,rf,0.814,0.8064516129032259,6,Global,2000
199,200,lgbm,0.8430493273542601,0.33962264150943394,6,Domain1,223
200,200,lgbm,0.7824427480916031,0.8394366197183099,6,Domain2,524
201,200,lgbm,0.9765625,0.1818181818181818,6,Domain3,384
202,200,lgbm,0.7487046632124352,0.8048289738430583,6,Domain4,386
203,200,lgbm,0.7093023255813954,0.7844827586206897,6,Domain5,172
204,200,lgbm,0.77491961414791,0.8309178743961353,6,Domain6,311
205,200,lgbm,0.8125,0.8043818466353677,6,Global,2000
206,200,lr,0.8565022421524664,0.36,6,Domain1,223
207,200,lr,0.767175572519084,0.8305555555555557,6,Domain2,524
208,200,lr,0.9765625,0.1818181818181818,6,Domain3,384
209,200,lr,0.7487046632124352,0.8063872255489022,6,Domain4,386
210,200,lr,0.686046511627907,0.7906976744186047,6,Domain5,172
211,200,lr,0.752411575562701,0.8108108108108107,6,Domain6,311
212,200,lr,0.8045,0.7991782229070366,6,Global,2000
